work_id	volume_file	volume_title	volume_date	prenom_auteur	nom_auteur	volume_edition_id	first_edition	first_edition_titre	first_edition_date	list_edition_bnf
1	gallica_bpt6k10403469	Le disciple de Pantagruel	1538	Jehan d'	Abundance	cb31167609c	cb31167609c	Le disciple de Pantagruel	1538	cb31167609c
2	NA	NA	NA	none	Achille Tatius	NA	cb35766717m	Les Devis amoureux , traduictz nagueres de grec en latin, &amp;amp; depuis de latin en françois, par l'Amoureux de vertu	1545	cb35766717m
3	gallica_bpt6k123083c	Les amours de Clitophon et de Leucippe , escrits jadis en grec par Achilles Statius Alexandrin, et depuis mis en latin par L. Annibal Italien, et nouvellement traduits en langage françois par B. (Belleforest) Comingeois...	1575	none	Achille Tatius	cb30002489j	cb33984516q	Les amours de Clitophon et de Leucippe  escris jadis en grec par Achilles Statius (sic) Alexandrin, et depuis mis en latin par L. Annibal (Croceius) Italien, et nouvellement traduits en vers françois [Par Belleforest]	1568	cb33984516q, cb30079886r, cb36117963n, cb30002489j, cb31981236h, cb30002490r
4	gallica_bpt6k15259633	Traité de l'excellence de la femme , faict françois du latin de Henri Corneille Agrippe, par Lois Vivant,...	1578	Henri Corneille	Agrippa	cb30005276c	cb30005276c	Traité de l'excellence de la femme , faict françois du latin de Henri Corneille Agrippe, par Lois Vivant,...	1578	cb30005276c
4	gallica_bpt6k503767q	Traité de l'excellence de la femme , faict françois du latin de Henri Corneille Agrippe, par Lois Vivant,...	1578	Henri Corneille	Agrippa	cb30005276c	cb30005276c	Traité de l'excellence de la femme , faict françois du latin de Henri Corneille Agrippe, par Lois Vivant,...	1578	cb30005276c
5	NA	NA	NA	Leon Battista	Alberti	NA	cb300078128	Hecatomphile, de vulgarie [sic] italien tourné en langaige françoys. Les Fleurs de poésie françoyse	1534	cb300078128, cb30007814z
6	gallica_bpt6k1513819f	La Nouvelle fabrique des excellents traicts de vérité, livre pour inciter les rêveurs tristes et mélancholiques à vivre de plaisir	1555	Philippe d'	Alcripe	cb30794755m	cb30794755m	La Nouvelle fabrique des excellents traicts de vérité, livre pour inciter les rêveurs tristes et mélancholiques à vivre de plaisir	1555	cb30794755m
7	NA	NA	NA	Guillaume	Alexis	NA	cb30009968n	Le Debat de l'homme et de la femme, composé par frère Guillaume Alexis	1515	cb30009968n
8	gallica_btv1b86000365	Le Grant Blason des faulses amours, fait par frère Guillaume Alexis, religieux de Lyre et prieur de Bussy, en chevauchant avec ung gentilhomme entre Rouen et Verneul au Perche	1520	Guillaume	Alexis	cb300099570	cb300099570	Le Grant Blason des faulses amours, fait par frère Guillaume Alexis, religieux de Lyre et prieur de Bussy, en chevauchant avec ung gentilhomme entre Rouen et Verneul au Perche	1520	cb300099570
9	gallica _bpt6k1228648	Les Odes d'Anacréon,... traduites de grec en françois, par Remi Belleau,... ensemble quelques petites hymnes de son invention...	1578	none	Anacréon	NA	cb30017686g	Les Odes d'Anacréon,... traduites de grec en françois, par Remi Belleau,... ensemble quelques petites hymnes de son invention...	1578	cb30017686g
10	gallica_bpt6k1510632p	Le premier livre de Guerin Mesquin La tres joyeuse plaisante et recreative hystoire des faitz, gestes, triumphes et prouesses du tres preulx et vaillant chevalier Guerin par advent nomme Mesquin filz de Millon de Bourgongne prince de Tarante et en son temps roy Dalbanye. Lequel ce trouva en plusieurs prouvinces estranges et en plusieurs grandes batailles rencontres et assaulx ou il fist de merveilleux faitz darmes ainsi que recite ce present livre lequel a este traduyct de vulgaire italien en langue francoyse par honneste personne Jehan Decuchermoys, ...	1530	none	Andrea da Barberino	cb33409862d	cb33409862d	Le premier livre de Guerin Mesquin La tres joyeuse plaisante et recreative hystoire des faitz, gestes, triumphes et prouesses du tres preulx et vaillant chevalier Guerin par advent nomme Mesquin filz de Millon de Bourgongne prince de Tarante et en son temps roy Dalbanye. Lequel ce trouva en plusieurs prouvinces estranges et en plusieurs grandes batailles rencontres et assaulx ou il fist de merveilleux faitz darmes ainsi que recite ce present livre lequel a este traduyct de vulgaire italien en langue francoyse par honneste personne Jehan Decuchermoys, ...	1530	cb33409862d, cb36692587v, cb302901821
